0.2  2  0  1 昨天 23:46
0.2  15  0  2 前天 23:36
0.2  6  0  1 04.07 22:50
0.2  11  0  1 04.06 19:02
0.2  3  0  1 04.05 17:44
0.2  65  3  2 04.05 13:10
0.2  9  0  1 04.04 23:57
0 2  0  0 04.04 20:49
0.4  3  0  1 04.03 15:28
0.3  10  0  1 04.02 07:18
0.4  3  0  1 04.01 13:26
0.3  3  1  1 03.31 13:31
0.2  39  0  1 03.30 14:31
0.2  2  0  1 03.30 11:00
0.2  2  0  1 03.29 15:43
0.2  2  0  1 03.28 22:05
0.2  5  0  1 03.27 16:55
0.2  7  0  1 03.26 23:57
0.3  5  0  1 03.25 23:13
0.2  13  0  2 03.24 19:17
0.2  14  0  2 03.23 23:25
0.2  16  0  2 03.22 16:46
0.2  11  0  2 03.21 07:29
0.2  8  0  2 03.20 15:54
0.1  11  0  2 03.19 10:05
0.1  17  0  2 03.19 09:59
0.2  7  0  2 03.18 09:59
0.2  3  0  1 03.17 10:42
0.2  13  0  2 03.16 13:28
0.1  8  0  2 03.16 11:07
0.1  10  0  2 03.15 09:50
0.1  15  0  2 03.14 10:37
0.3  17  0  3 03.13 09:55
0.1  35  2  2 03.12 09:51
0.1  5  0  1 03.11 11:09
0.1  8  0  2 03.11 11:08
0.1  7  0  2 03.10 16:48
0.1  13  0  2 03.09 16:15
0.1  8  0  2 03.08 15:56
0.3  12  0  2 03.07 12:53
0.3  29  0  3 03.06 13:22
0.3  14  0  2 03.06 13:14
0.4  60  2  2 03.05 21:19
